Flood,Aspect,CTI,Curvature,DEM,Distance_river,Distance_road,Landuse2005,Rainfall2005,Slope,SPI,TWI
No,0.9132610000000001,0.064446,0.748319,0.180299,0.096124,0.038895,0.25,0.5575760000000001,0.7658149999999999,6.2e-05,0.064446
Yes,0.965642,0.522598,0.696288,0.004809000000000001,0.020025,0.003201,0.5,0.299426,0.000656,1e-06,0.522597
Yes,0.010729,0.503255,0.696259,0.004994,0.030574,0.015227000000000001,0.5,0.13269,0.0007059999999999999,1e-06,0.503255
No,0.6953520000000001,0.164175,0.696743,0.295471,0.063194,0.18900799999999998,0.25,0.45924,0.5307270000000001,0.000305,0.164175
No,0.49665,0.15385,0.6931229999999999,0.292155,0.27366399999999996,0.24296500000000001,0.25,0.755542,0.692059,0.000562,0.15385
No,0.35316,0.12376500000000001,0.6790010000000001,0.355401,0.216383,0.159618,0.25,0.632584,0.61073,0.000166,0.12376500000000001
Yes,0.8783,0.308782,0.696412,0.005163,0.163998,0.020777,0.5,0.393953,0.010115,2e-06,0.308782
No,0.540225,0.145456,0.6761550000000001,0.318079,0.27624499999999996,0.237244,0.25,0.755542,0.6936770000000001,0.000462,0.145456
Yes,0.701678,0.419799,0.6963189999999999,0.005013,0.010518000000000001,0.037074,0.5,0.251245,0.000859,0.0,0.419799
No,0.202626,0.07499199999999999,0.729542,0.282939,0.07745,0.096202,0.25,0.6063729999999999,0.6765760000000001,4.9e-05,0.07499199999999999
